id,title,subject,type,family,year,classroomRole,interactionModel,curriculumTopic,curriculumRef
bev3-build-asdan-careers-w7-my-career-profile,BUILD · ASDAN · W7 · My Career Profile (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-build-asdan-hub,BUILD · ASDAN · v3 route · start here,BUILD Vocational & PfA,teacher,BUILD Estate v3,2026-27,,,,
bev3-dt-community-upcycling-build-dt-w1-the-workshop-audit,BUILD · D&T · W1 · The Workshop Audit (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-dt-community-upcycling-build-dt-w2-the-blueprint,BUILD · D&T · W2 · The Blueprint (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-dt-community-upcycling-build-dt-w3-the-core-cut,BUILD · D&T · W3 · The Core Cut (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-dt-community-upcycling-build-dt-w4-the-assembly,BUILD · D&T · W4 · The Assembly (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-dt-community-upcycling-build-dt-w5-the-finish,BUILD · D&T · W5 · The Finish (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-dt-community-upcycling-build-dt-w6-the-handover,BUILD · D&T · W6 · The Handover (v3 route),BUILD Vocational & PfA,lesson,BUILD Estate v3,2026-27,,,,
bev3-dt-community-upcycling-hub,BUILD · D&T · v3 route · start here,BUILD Vocational & PfA,teacher,BUILD Estate v3,2026-27,,,,
dt-upcycling-w1,D&T W1 · The Workshop Audit,BUILD Vocational & PfA,lesson,BUILD · D&T Community Upcycling,2026-27,,,,
dt-upcycling-w2,D&T W2 · The Blueprint,BUILD Vocational & PfA,lesson,BUILD · D&T Community Upcycling,2026-27,,,,
dt-upcycling-w3,D&T W3 · The Core Cut,BUILD Vocational & PfA,lesson,BUILD · D&T Community Upcycling,2026-27,,,,
dt-upcycling-w4,D&T W4 · The Assembly,BUILD Vocational & PfA,lesson,BUILD · D&T Community Upcycling,2026-27,,,,
dt-upcycling-w5,D&T W5 · The Finish,BUILD Vocational & PfA,lesson,BUILD · D&T Community Upcycling,2026-27,,,,
dt-upcycling-w6,D&T W6 · The Handover,BUILD Vocational & PfA,lesson,BUILD · D&T Community Upcycling,2026-27,,,,
dt-upcycling-sow,D&T · Community Upcycling Scheme of Work,BUILD Vocational & PfA,support,BUILD · D&T Community Upcycling,2026-27,,,,
dt-upcycling-weekly,D&T · Community Upcycling Weekly Plan (lessons),BUILD Vocational & PfA,support,BUILD · D&T Community Upcycling,2026-27,,,,
dt-upcycling-hub,D&T · Teesside Community Upcycling (unit hub),BUILD Vocational & PfA,teacher,BUILD · D&T Community Upcycling,2026-27,,,,
grow-asdan-hub,GROW ASDAN — the full term (hub),GROW Vocational & PfA,teacher,GROW ASDAN,2026-27,,,,
grow-asdan-gcomm-w1-our-patch-our-say,"GROW ASDAN W1: Our Patch, Our Say (Community Project)",GROW Vocational & PfA,lesson,GROW ASDAN · Community Project,2026-27,,,,
grow-asdan-gcomm-w2-choose-the-need,GROW ASDAN W2: Choose the Need (Community Project),GROW Vocational & PfA,lesson,GROW ASDAN · Community Project,2026-27,,,,
grow-asdan-gcomm-w3-roles-steps-resources,"GROW ASDAN W3: Roles, Steps, Resources (Community Project)",GROW Vocational & PfA,lesson,GROW ASDAN · Community Project,2026-27,,,,
grow-asdan-gcomm-w4-first-contact,GROW ASDAN W4: First Contact (Community Project),GROW Vocational & PfA,lesson,GROW ASDAN · Community Project,2026-27,,,,
grow-asdan-gcomm-w5-risk-and-ready,GROW ASDAN W5: Risk & Ready (Community Project),GROW Vocational & PfA,lesson,GROW ASDAN · Community Project,2026-27,,,,
grow-asdan-gcomm-w6-green-light,GROW ASDAN W6: Green Light (Community Project),GROW Vocational & PfA,lesson,GROW ASDAN · Community Project,2026-27,,,,
grow-asdan-hub-community-project,GROW ASDAN: Community Project — START HERE,GROW Vocational & PfA,teacher,GROW ASDAN · Community Project,2026-27,,,,
grow-asdan-ent-w1-helps-and-earns,GROW ASDAN W1: Helps and Earns (Community & Enterprise),GROW Vocational & PfA,lesson,GROW ASDAN · Enterprise,2026-27,,,,
grow-asdan-ent-w2-spot-the-gap,GROW ASDAN W2: Spot the Gap (Community & Enterprise),GROW Vocational & PfA,lesson,GROW ASDAN · Enterprise,2026-27,,,,
grow-asdan-ent-w3-our-idea-our-users,"GROW ASDAN W3: Our Idea, Our Users (Community & Enterprise)",GROW Vocational & PfA,lesson,GROW ASDAN · Enterprise,2026-27,,,,
grow-asdan-ent-w4-money-in-money-out,"GROW ASDAN W4: Money In, Money Out (Community & Enterprise)",GROW Vocational & PfA,lesson,GROW ASDAN · Enterprise,2026-27,,,,
grow-asdan-ent-w5-brand-and-pitch,GROW ASDAN W5: Brand and Pitch (Community & Enterprise),GROW Vocational & PfA,lesson,GROW ASDAN · Enterprise,2026-27,,,,
grow-asdan-ent-w6-pitch-day,GROW ASDAN W6: Pitch Day (Community & Enterprise),GROW Vocational & PfA,lesson,GROW ASDAN · Enterprise,2026-27,,,,
grow-asdan-hub-enterprise,GROW ASDAN: Community & Enterprise — START HERE,GROW Vocational & PfA,teacher,GROW ASDAN · Enterprise,2026-27,,,,
grow-asdan-peq-w1-knowing-myself,GROW ASDAN W1: Knowing Myself (Personal Effectiveness (PEQ L1)),GROW Vocational & PfA,lesson,GROW ASDAN · Personal Effectiveness,2026-27,,,,
grow-asdan-peq-w2-goals-that-work,GROW ASDAN W2: Goals That Work (Personal Effectiveness (PEQ L1)),GROW Vocational & PfA,lesson,GROW ASDAN · Personal Effectiveness,2026-27,,,,
grow-asdan-peq-w3-working-with-others,GROW ASDAN W3: Working With Others (Personal Effectiveness (PEQ L1)),GROW Vocational & PfA,lesson,GROW ASDAN · Personal Effectiveness,2026-27,,,,
grow-asdan-peq-w4-managing-myself,GROW ASDAN W4: Managing Myself (Personal Effectiveness (PEQ L1)),GROW Vocational & PfA,lesson,GROW ASDAN · Personal Effectiveness,2026-27,,,,
grow-asdan-peq-w5-solving-problems,GROW ASDAN W5: Solving Problems (Personal Effectiveness (PEQ L1)),GROW Vocational & PfA,lesson,GROW ASDAN · Personal Effectiveness,2026-27,,,,
grow-asdan-peq-w6-present-my-progress,GROW ASDAN W6: Present My Progress (Personal Effectiveness (PEQ L1)),GROW Vocational & PfA,lesson,GROW ASDAN · Personal Effectiveness,2026-27,,,,
grow-asdan-hub-peq,GROW ASDAN: Personal Effectiveness (PEQ L1) — START HERE,GROW Vocational & PfA,teacher,GROW ASDAN · Personal Effectiveness,2026-27,,,,
glv3-grow-asdan-community-w1,"GROW · ASDAN · Community W1 · Our Patch, Our Say (v3 route)",GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-community-w2,GROW · ASDAN · Community W2 · Choose the Need (v3 route),GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-community-w3,"GROW · ASDAN · Community W3 · Roles, Steps, Resources (v3 route)",GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-community-w4,GROW · ASDAN · Community W4 · First Contact (v3 route),GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-community-w5,GROW · ASDAN · Community W5 · Risk & Ready (v3 route),GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-community-w6,GROW · ASDAN · Community W6 · Green Light (v3 route),GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-enterprise-w1,GROW · ASDAN · Enterprise W1 · Helps and Earns (v3 route),GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-enterprise-w2,GROW · ASDAN · Enterprise W2 · Spot the Gap (v3 route),GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-enterprise-w3,"GROW · ASDAN · Enterprise W3 · Our Idea, Our Users (v3 route)",GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-enterprise-w4,"GROW · ASDAN · Enterprise W4 · Money In, Money Out (v3 route)",GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-enterprise-w5,GROW · ASDAN · Enterprise W5 · Brand and Pitch (v3 route),GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-enterprise-w6,GROW · ASDAN · Enterprise W6 · Pitch Day (v3 route),GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-peq-w1,GROW · ASDAN · PEQ W1 · Knowing Myself (v3 route),GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-peq-w2,GROW · ASDAN · PEQ W2 · Goals That Work (v3 route),GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-peq-w3,GROW · ASDAN · PEQ W3 · Working With Others (v3 route),GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-peq-w4,GROW · ASDAN · PEQ W4 · Managing Myself (v3 route),GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-peq-w5,GROW · ASDAN · PEQ W5 · Solving Problems (v3 route),GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-peq-w6,GROW · ASDAN · PEQ W6 · Present My Progress (v3 route),GROW Vocational & PfA,Lesson,GROW Estate v3,2026-27,,,,
glv3-grow-asdan-hub,GROW · ASDAN · alternative v3 route hub,GROW Vocational & PfA,Hub,GROW Estate v3,2026-27,,,,
glv3-grow-estate-hub,GROW · Autumn 1 alternative v3 estate,GROW Vocational & PfA,Hub,GROW Estate v3,2026-27,,,,
launch-asdan-hub,LAUNCH ASDAN — the full term (hub),LAUNCH Vocational & PfA,teacher,LAUNCH ASDAN,2026-27,,,,
launch-asdan-community-enterprise-w1-identify-a-community-need,LAUNCH ASDAN W1: Identify a Community Need (Community & Enterprise),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Community & Enterprise,2026-27,,,,
launch-asdan-community-enterprise-w2-plan-a-social-action-or-enterprise-project,LAUNCH ASDAN W2: Plan a Social-Action or Enterprise Project (Community & Enterprise),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Community & Enterprise,2026-27,,,,
launch-asdan-community-enterprise-w3-agree-roles-aims-and-timeline,LAUNCH ASDAN W3: Agree Roles Aims and Timeline (Community & Enterprise),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Community & Enterprise,2026-27,,,,
launch-asdan-community-enterprise-w4-partner-with-a-local-group-or-charity,LAUNCH ASDAN W4: Partner with a Local Group or Charity (Community & Enterprise),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Community & Enterprise,2026-27,,,,
launch-asdan-community-enterprise-w5-begin-delivering-the-project,LAUNCH ASDAN W5: Begin Delivering the Project (Community & Enterprise),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Community & Enterprise,2026-27,,,,
launch-asdan-community-enterprise-w6-promote-our-project,LAUNCH ASDAN W6: Promote Our Project (Community & Enterprise),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Community & Enterprise,2026-27,,,,
launch-asdan-hub-community-enterprise,LAUNCH ASDAN: Community & Enterprise — START HERE,LAUNCH Vocational & PfA,teacher,LAUNCH ASDAN · Community & Enterprise,2026-27,,,,
launch-asdan-careers-w1-know-myself-for-work,LAUNCH ASDAN W1: Know Myself for Work (Employability & Careers),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Employability & Careers,2026-27,,,,
launch-asdan-careers-w2-the-world-of-work-and-its-sectors,LAUNCH ASDAN W2: The World of Work and Its Sectors (Employability & Careers),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Employability & Careers,2026-27,,,,
launch-asdan-careers-w3-labour-market-information-and-pathways,LAUNCH ASDAN W3: Labour-Market Information and Pathways (Employability & Careers),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Employability & Careers,2026-27,,,,
launch-asdan-careers-w4-meeting-an-employer,LAUNCH ASDAN W4: Meeting an Employer (Employability & Careers),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Employability & Careers,2026-27,,,,
launch-asdan-careers-w5-matching-my-profile-to-opportunities,LAUNCH ASDAN W5: Matching My Profile to Opportunities (Employability & Careers),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Employability & Careers,2026-27,,,,
launch-asdan-careers-w6-setting-smart-careers-targets,LAUNCH ASDAN W6: Setting SMART Careers Targets (Employability & Careers),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Employability & Careers,2026-27,,,,
launch-asdan-hub-careers,LAUNCH ASDAN: Employability & Careers — START HERE,LAUNCH Vocational & PfA,teacher,LAUNCH ASDAN · Employability & Careers,2026-27,,,,
launch-asdan-living-independently-w1-self-care-routines-and-organisation,LAUNCH ASDAN W1: Self-Care Routines and Organisation (Independent Living),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Independent Living,2026-27,,,,
launch-asdan-living-independently-w2-home-safety-and-hazard-awareness,LAUNCH ASDAN W2: Home Safety and Hazard Awareness (Independent Living),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Independent Living,2026-27,,,,
launch-asdan-living-independently-w3-laundry-and-household-maintenance,LAUNCH ASDAN W3: Laundry and Household Maintenance (Independent Living),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Independent Living,2026-27,,,,
launch-asdan-living-independently-w4-keeping-a-clean-safe-living-space,LAUNCH ASDAN W4: Keeping a Clean Safe Living Space (Independent Living),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Independent Living,2026-27,,,,
launch-asdan-living-independently-w5-personal-admin-and-responsibilities,LAUNCH ASDAN W5: Personal Admin and Responsibilities (Independent Living),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Independent Living,2026-27,,,,
launch-asdan-living-independently-w6-plan-and-shop-for-a-balanced-meal,LAUNCH ASDAN W6: Plan and Shop for a Balanced Meal (Independent Living),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Independent Living,2026-27,,,,
launch-asdan-hub-living-independently,LAUNCH ASDAN: Independent Living — START HERE,LAUNCH Vocational & PfA,teacher,LAUNCH ASDAN · Independent Living,2026-27,,,,
launch-asdan-peq-w1-intro-and-choosing-my-level,LAUNCH ASDAN W1: Intro and Choosing My Level (Personal Effectiveness (PEQ L1)),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Personal Effectiveness,2026-27,,,,
launch-asdan-peq-w2-what-makes-communication-effective,LAUNCH ASDAN W2: What Makes Communication Effective (Personal Effectiveness (PEQ L1)),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Personal Effectiveness,2026-27,,,,
launch-asdan-peq-w3-active-listening-and-giving-feedback,LAUNCH ASDAN W3: Active Listening and Giving Feedback (Personal Effectiveness (PEQ L1)),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Personal Effectiveness,2026-27,,,,
launch-asdan-peq-w4-plan-a-communication-activity,LAUNCH ASDAN W4: Plan a Communication Activity (Personal Effectiveness (PEQ L1)),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Personal Effectiveness,2026-27,,,,
launch-asdan-peq-w5-deliver-the-activity-and-gather-evidence,LAUNCH ASDAN W5: Deliver the Activity and Gather Evidence (Personal Effectiveness (PEQ L1)),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Personal Effectiveness,2026-27,,,,
launch-asdan-peq-w6-review-progress-and-sign-off-the-unit,LAUNCH ASDAN W6: Review Progress and Sign Off the Unit (Personal Effectiveness (PEQ L1)),LAUNCH Vocational & PfA,lesson,LAUNCH ASDAN · Personal Effectiveness,2026-27,,,,
launch-asdan-hub-peq,LAUNCH ASDAN: Personal Effectiveness (PEQ L1) — START HERE,LAUNCH Vocational & PfA,teacher,LAUNCH ASDAN · Personal Effectiveness,2026-27,,,,
